Thread ID: 70235269057760
Total: 3.003410
Sort by: self_time

 %self      total      self      wait     child     calls  name
  1.36      0.243     0.041     0.202     0.000       13   <Class::Thread>#new 
  0.08      0.002     0.002     0.000     0.000        1   Kernel#system 
  0.03      0.206     0.001     0.205     0.000        4   File#initialize 
  0.03      0.025     0.001     0.024     0.000       74   IO#write 
  0.02      0.001     0.001     0.000     0.000       37   Time#strftime 
  0.02      0.029     0.000     0.000     0.029       37   Logger#add 
  0.01      2.569     0.000     0.000     2.568        9   Array#each 
  0.01      0.002     0.000     0.000     0.001       38   Proc#call 
  0.01      0.000     0.000     0.000     0.000       13   Thread#initialize 
  0.01      0.001     0.000     0.000     0.000       37   MonitorMixin#mon_exit 
  0.01      0.026     0.000     0.000     0.026       37   MonitorMixin#mon_synchronize 
  0.01      0.025     0.000     0.000     0.025       37   Array#map 
  0.01      0.000     0.000     0.000     0.000       37   MonitorMixin#mon_enter 
  0.01      0.000     0.000     0.000     0.000        2   Module#class_eval 
  0.01      0.000     0.000     0.000     0.000      148   Fixnum#* 
  0.01      0.207     0.000     0.000     0.207       37   NixonPi::Logging#log 
  0.00      0.208     0.000     0.000     0.208        5   Mutex#synchronize 
  0.00      0.000     0.000     0.000     0.000       37   MonitorMixin#mon_check_owner 
  0.00      0.003     0.000     0.000     0.003        6   Integer#times 
  0.00      0.000     0.000     0.000     0.000       37   String#colorize 
  0.00      0.027     0.000     0.000     0.026       74  *Logger::LogDevice#write 
  0.00      0.000     0.000     0.000     0.000       13   <Class::NixonPi::CommandProcessor>#add_receiver 
  0.00      0.000     0.000     0.000     0.000       39   <Class::BasicObject>#allocate 
  0.00      0.006     0.000     0.000     0.006        1   NixonPi::NixieService#initialize 
  0.00      0.000     0.000     0.000     0.000      111   <Class::Thread>#current 
  0.00      0.002     0.000     0.000     0.001       10   NixonPi::Factory::ClassMethods#create 
  0.00      0.001     0.000     0.000     0.001       10   StateMachine::MachineCollection#initialize_states 
  0.00      0.000     0.000     0.000     0.000       37   <Class::Time>#now 
  0.00      0.002     0.000     0.000     0.002       37   Logger#format_message 
  0.00      0.206     0.000     0.000     0.206        4   <Module::NixonPi::Logging>#configure_logger_for 
  0.00      0.000     0.000     0.000     0.000       37   Time#initialize 
  0.00      0.028     0.000     0.000     0.028       27   Logger#info 
  0.00      0.000     0.000     0.000     0.000       37   Logger#format_severity 
  0.00      0.001     0.000     0.000     0.001       20   Hash#each_value 
  0.00      0.000     0.000     0.000     0.000       76   Fixnum#<=> 
  0.00      0.001     0.000     0.000     0.000       10   StateMachine::Machine#initialize_state 
  0.00      0.000     0.000     0.000     0.000        4   Kernel#eval 
  0.00      0.000     0.000     0.000     0.000       42   Mutex#lock 
  0.00      0.000     0.000     0.000     0.000       27   String#green 
  0.00      0.000     0.000     0.000     0.000       74   Fixnum#divmod 
  0.00      0.000     0.000     0.000     0.000       30   StateMachine::Machine#dynamic_initial_state? 
  0.00      0.209     0.000     0.000     0.209       44  *Class#new 
  0.00      0.000     0.000     0.000     0.000       10   StateMachine::Machine#write 
  0.00      0.000     0.000     0.000     0.000       40   Kernel#class 
  0.00      0.000     0.000     0.000     0.000       50   Symbol#to_s 
  0.00      0.000     0.000     0.000     0.000       11   Hash#each 
  0.00      0.000     0.000     0.000     0.000       74   Bignum#<=> 
  0.00      0.000     0.000     0.000     0.000       54   Kernel#is_a? 
  0.00      0.000     0.000     0.000     0.000       49   Fixnum#to_s 
  0.00      2.997     0.000     0.000     2.997        1   NixonPi::NixieService#run! 
  0.00      0.207     0.000     0.000     0.207        1   <Class::NixonPi::Scheduler>#instance 
  0.00      0.000     0.000     0.000     0.000       48   Kernel#block_given? 
  0.00      0.000     0.000     0.000     0.000       42   Mutex#unlock 
  0.00      0.000     0.000     0.000     0.000       37   <Class::Time>#allocate 
  0.00      0.000     0.000     0.000     0.000        8   Module#define_method 
  0.00      0.000     0.000     0.000     0.000       10   StateMachine::Machine#initial_state 
  0.00      0.000     0.000     0.000     0.000        1   Rufus::Scheduler::PlainScheduler#start 
  0.00      0.000     0.000     0.000     0.000       21   Module#to_s 
  0.00      0.000     0.000     0.000     0.000       10   StateMachine::Assertions#assert_valid_keys 
  0.00      0.000     0.000     0.000     0.000       10   Symbol#match 
  0.00      0.000     0.000     0.000     0.000       51   NilClass#nil? 
  0.00      0.207     0.000     0.000     0.207        1   NixonPi::Scheduler#initialize 
  0.00      0.000     0.000     0.000     0.000       38   Kernel#nil? 
  0.00      0.000     0.000     0.000     0.000       11   Hash#merge 
  0.00      0.000     0.000     0.000     0.000        4   Logger#initialize 
  0.00      0.000     0.000     0.000     0.000       20   Kernel#respond_to? 
  0.00      0.000     0.000     0.000     0.000       19   String#to_sym 
  0.00      0.000     0.000     0.000     0.000       10   Array#- 
  0.00      0.000     0.000     0.000     0.000       17   Hash#[]= 
  0.00      0.000     0.000     0.000     0.000        4   Logger::LogDevice#initialize 
  0.00      0.000     0.000     0.000     0.000        2   Settingslogic#create_accessor_for 
  0.00      0.000     0.000     0.000     0.000       10   StateMachine::NodeCollection#[] 
  0.00      0.000     0.000     0.000     0.000       10   StateMachine::State#value 
  0.00      0.207     0.000     0.000     0.206        5   <Module::NixonPi::Logging>#logger_for 
  0.00      0.000     0.000     0.000     0.000       37   Fixnum#+ 
  0.00      0.000     0.000     0.000     0.000       10   Enumerable#any? 
  0.00      0.000     0.000     0.000     0.000        7   <Class::Mutex>#allocate 
  0.00      0.000     0.000     0.000     0.000        5   NixonPi::LampStateMachine#initialize 
  0.00      0.000     0.000     0.000     0.000       10   StateMachine::NodeCollection#fetch 
  0.00      0.000     0.000     0.000     0.000        7   Mutex#initialize 
  0.00      0.000     0.000     0.000     0.000       11   Hash#initialize_copy 
  0.00      0.000     0.000     0.000     0.000       10   StateMachine::NodeCollection#index 
  0.00      0.001     0.000     0.000     0.001       10   Logger#debug 
  0.00      0.000     0.000     0.000     0.000        4   NixonPi::BarStateMachine#initialize 
  0.00      0.000     0.000     0.000     0.000       10   <Class::Settingslogic>#instance 
  0.00      0.000     0.000     0.000     0.000        4   <Class::NixonPi::Settings>#log_level 
  0.00      0.000     0.000     0.000     0.000       27   Symbol#to_sym 
  0.00      0.000     0.000     0.000     0.000       10   NixonPi::HandlerStateMachine#initialize 
  0.00      0.000     0.000     0.000     0.000       10   StateMachine::Machine#attribute 
  0.00      2.518     0.000     2.518     0.000        1   Thread#join 
  0.00      0.000     0.000     0.000     0.000        2   Rufus::Scheduler::JobQueue#initialize 
  0.00      0.000     0.000     0.000     0.000        2   Rufus::Scheduler::SchedulerCore#get_queue 
  0.00      0.003     0.000     0.000     0.003        3   <Class::NixonPi::MachineManager>#add_state_machine 
  0.00      0.000     0.000     0.000     0.000        4   MonitorMixin#initialize 
  0.00      0.000     0.000     0.000     0.000       22   Symbol#== 
  0.00      0.000     0.000     0.000     0.000       16   BasicObject#initialize 
  0.00      0.000     0.000     0.000     0.000        4   MonitorMixin#mon_initialize 
  0.00      0.000     0.000     0.000     0.000        4   <Class::NixonPi::MultiDelegator>#to 
  0.00      0.000     0.000     0.000     0.000        1   NixonPi::AbioCardClient#initialize 
  0.00      0.000     0.000     0.000     0.000        1   MockTelnet#cmd 
  0.00      0.206     0.000     0.000     0.206        4   <Class::IO>#open 
  0.00      0.000     0.000     0.000     0.000        1   <Module::Rufus::Scheduler>#start_new 
  0.00      0.000     0.000     0.000     0.000        5   Module#name 
  0.00      0.000     0.000     0.000     0.000       10   Module#method_added 
  0.00      0.000     0.000     0.000     0.000        4   <Class::File>#join 
  0.00      0.000     0.000     0.000     0.000        1   Rufus::Scheduler::SchedulerCore#initialize 
  0.00      0.000     0.000     0.000     0.000       10   StateMachine::ClassMethods#state_machines 
  0.00      0.000     0.000     0.000     0.000        4   NixonPi::BarStateMachine :state instance helpers#initialize 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Rufus::Scheduler::SchedulerCore>#start_new 
  0.00      0.000     0.000     0.000     0.000       11   Kernel#initialize_dup 
  0.00      0.000     0.000     0.000     0.000        2   NixonPi::Settings#telnet_server 
  0.00      0.000     0.000     0.000     0.000       10   String#yellow 
  0.00      0.000     0.000     0.000     0.000        1   NixonPi::AbioCardClient#io_write 
  0.00      0.000     0.000     0.000     0.000       12   <Class::Hash>#allocate 
  0.00      0.000     0.000     0.000     0.000        2   Kernel#respond_to_missing? 
  0.00      0.000     0.000     0.000     0.000        4   <Class::Dir>#home 
  0.00      0.000     0.000     0.000     0.000       10   NixonPi::HandlerStateMachine#register_driver 
  0.00      0.000     0.000     0.000     0.000       10   Kernel#instance_variable_defined? 
  0.00      0.000     0.000     0.000     0.000        1   NixonPi::Settings#in13_pins 
  0.00      0.000     0.000     0.000     0.000        1   Settingslogic#initialize 
  0.00      0.000     0.000     0.000     0.000        1   <Module::EventMachine>#reactor_running? 
  0.00      0.000     0.000     0.000     0.000        2   Kernel#trap 
  0.00      0.001     0.000     0.000     0.000        1   NixonPi::PowerDriver#initialize 
  0.00      0.000     0.000     0.000     0.000        4   <Class::NixonPi::MultiDelegator>#delegate 
  0.00      0.051     0.000     0.000     0.051        1   <Class::NixonPi::MachineManager>#start_state_machines 
  0.00      0.003     0.000     0.000     0.003        3   Enumerator#with_index 
  0.00      0.000     0.000     0.000     0.000        4   <Class::IO>#allocate 
  0.00      0.000     0.000     0.000     0.000        6   Hash#has_key? 
  0.00      0.000     0.000     0.000     0.000        7   Hash#fetch 
  0.00      0.000     0.000     0.000     0.000        1   NixonPi::TubeStateMachine :state instance helpers#initialize 
  0.00      0.000     0.000     0.000     0.000        1   NixonPi::Settings#power_pin 
  0.00      0.000     0.000     0.000     0.000        4   NixonPi::MultiDelegator#initialize 
  0.00      0.000     0.000     0.000     0.000       10   Array#empty? 
  0.00      0.000     0.000     0.000     0.000        1   NixonPi::Settings#host 
  0.00      0.000     0.000     0.000     0.000        4   Kernel#proc 
  0.00      0.000     0.000     0.000     0.000        4   NixonPi::Settings#log_level 
  0.00      0.000     0.000     0.000     0.000        1   Rufus::Scheduler::CronJobQueue#initialize 
  0.00      0.000     0.000     0.000     0.000        1   String#to_i 
  0.00      0.000     0.000     0.000     0.000        5   NixonPi::LampStateMachine :state instance helpers#initialize 
  0.00      0.000     0.000     0.000     0.000        1   NixonPi::Settings#in1_pins 
  0.00      0.000     0.000     0.000     0.000        1   NixonPi::Retryable#retryable 
  0.00      0.000     0.000     0.000     0.000        1   NixonPi::TubeStateMachine#initialize 
  0.00      0.000     0.000     0.000     0.000        1   <Class::NixonPi::CommandProcessor>#start 
  0.00      0.001     0.000     0.000     0.001        1   NixonPi::PowerDriver#power_on 
  0.00      0.000     0.000     0.000     0.000        4   Logger::Formatter#initialize 
  0.00      0.000     0.000     0.000     0.000        1   NixonPi::Settings#port 
  0.00      0.000     0.000     0.000     0.000        1   BasicObject#singleton_method_added 
  0.00      0.000     0.000     0.000     0.000        1   NixonPi::AbioCardClient#handle 
  0.00      0.000     0.000     0.000     0.000        1   NixonPi::ConversionHelper#bit_to_hex 
  0.00      0.000     0.000     0.000     0.000        1   NixonPi::Driver#client 
  0.00      0.000     0.000     0.000     0.000        2   <Class::NixonPi::Settings>#telnet_server 
  0.00      0.000     0.000     0.000     0.000        1   NixonPi::AbioCardClient#connection_for 
  0.00      0.000     0.000     0.000     0.000        1   Regexp#=== 
  0.00      0.000     0.000     0.000     0.000        1   <Class::NixonPi::Settings>#in13_pins 
  0.00      0.000     0.000     0.000     0.000        2   Array#initialize 
  0.00      0.000     0.000     0.000     0.000        1   <Class::NixonPi::Settings>#in1_pins 
  0.00      0.001     0.000     0.000     0.001        1   <Class::NixonPi::PowerDriver>#instance 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Settingslogic>#[] 
  0.00      0.000     0.000     0.000     0.000        1   <Class::NixonPi::AbioCardClient>#instance 
  0.00      0.000     0.000     0.000     0.000        1   Hash#replace 
  0.00      0.000     0.000     0.000     0.000        1   Range#include_without_range? 
  0.00      0.000     0.000     0.000     0.000        1   Thread#[]= 
  0.00      0.000     0.000     0.000     0.000        1   NixonPi::AbioCardClient#connection 
  0.00      2.997     0.000     0.000     2.997        1   Global#[No method] 
  0.00      0.000     0.000     0.000     0.000        2   Enumerable#all? 
  0.00      0.000     0.000     0.000     0.000        2   Kernel#instance_variable_set 
  0.00      0.000     0.000     0.000     0.000        1   Range#include_with_range? 
